question_id,document_id,reasoning_type,question,return_column,value_column,expected_answer,expected_candidate_found,expected_value_text,expected_value,expected_value_rank,expected_logical_row_index,expected_row_position_ratio,expected_full_row,solver_answer,solver_value_text,solver_value,solver_value_rank,solver_logical_row_index,solver_row_position_ratio,solver_full_row,num_logical_rows,all_values,is_correct,expected_table,expected_row,expected_column,expected_is_bold,expected_block_id,solver_table,solver_row,solver_column,solver_is_bold,solver_block_id
B-train-00002-q10,B-train-00002,argmax,"Trong bảng 1 ở trang 1, Trạm nào có Sự cố lớn nhất?",Trạm,Sự cố,Trạm 110kV Bắc,True,6,6.0,1,0,0.0,"Trạm 110kV Bắc | 15.838 | 1,3% | 830 | 6",Trạm 110kV Bắc,6,6.0,1,0,0.0,"Trạm 110kV Bắc | 15.838 | 1,3% | 830 | 6",6,"[{""logical_row"": 0, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""6"", ""value"": 6.0}, {""logical_row"": 1, ""return"": ""Trạm 220kV Trung"", ""value_text"": ""1"", ""value"": 1.0}, {""logical_row"": 2, ""return"": ""Trạm Nam Sông"", ""value_text"": ""0"", ""value"": 0.0}, {""logical_row"": 3, ""return"": ""Trạm Tây Đô"", ""value_text"": ""1"", ""value"": 1.0}, {""logical_row"": 4, ""return"": ""Trạm Cao Nguyên"", ""value_text"": ""3"", ""value"": 3.0}, {""logical_row"": 5, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""0"", ""value"": 0.0}]",True,1,1,0,False,p01_b00005,1,1,0,False,p01_b00005
B-train-00003-q01,B-train-00003,argmax,"Trong bảng 1 ở trang 1, Khu vực nào có Kế hoạch lớn nhất?",Khu vực,Kế hoạch,Đồng bằng sông Cửu Long,True,4.070,4070.0,1,4,0.8,"Đồng bằng sông Cửu Long | 4.070 | 3.750 | -320 | 92,1%",Đồng bằng sông Cửu Long,4.070,4070.0,1,4,0.8,"Đồng bằng sông Cửu Long | 4.070 | 3.750 | -320 | 92,1%",6,"[{""logical_row"": 0, ""return"": ""Miền Bắc"", ""value_text"": ""3.560"", ""value"": 3560.0}, {""logical_row"": 1, ""return"": ""Miền Trung"", ""value_text"": ""1.720"", ""value"": 1720.0}, {""logical_row"": 2, ""return"": ""Miền Nam"", ""value_text"": ""3.720"", ""value"": 3720.0}, {""logical_row"": 3, ""return"": ""Tây Nguyên"", ""value_text"": ""3.430"", ""value"": 3430.0}, {""logical_row"": 4, ""return"": ""Đồng bằng sông Cửu Long"", ""value_text"": ""4.070"", ""value"": 4070.0}, {""logical_row"": 5, ""return"": ""Miền Bắc"", ""value_text"": ""950"", ""value"": 950.0}]",True,1,5,0,False,p01_b00025,1,5,0,False,p01_b00025
B-train-00003-q04,B-train-00003,argmax,"Trong bảng 1 ở trang 1, Khu vực nào có Tỷ lệ lớn nhất?",Khu vực,Tỷ lệ,Miền Bắc,True,"190,5%",190.5,1,5,1.0,"Miền Bắc | 950 | 1.810 | 860 | 190,5%",Miền Bắc,"190,5%",190.5,1,5,1.0,"Miền Bắc | 950 | 1.810 | 860 | 190,5%",6,"[{""logical_row"": 0, ""return"": ""Miền Bắc"", ""value_text"": ""117,4%"", ""value"": 117.4}, {""logical_row"": 1, ""return"": ""Miền Trung"", ""value_text"": ""127,9%"", ""value"": 127.9}, {""logical_row"": 2, ""return"": ""Miền Nam"", ""value_text"": ""118,0%"", ""value"": 118.0}, {""logical_row"": 3, ""return"": ""Tây Nguyên"", ""value_text"": ""117,5%"", ""value"": 117.5}, {""logical_row"": 4, ""return"": ""Đồng bằng sông Cửu Long"", ""value_text"": ""92,1%"", ""value"": 92.1}, {""logical_row"": 5, ""return"": ""Miền Bắc"", ""value_text"": ""190,5%"", ""value"": 190.5}]",True,1,6,0,False,p01_b00030,1,6,0,False,p01_b00030
B-train-00003-q07,B-train-00003,argmin,"Trong bảng 1 ở trang 1, Khu vực nào có Chênh lệch nhỏ nhất?",Khu vực,Chênh lệch,Đồng bằng sông Cửu Long,True,-320,-320.0,1,4,0.8,"Đồng bằng sông Cửu Long | 4.070 | 3.750 | -320 | 92,1%",Đồng bằng sông Cửu Long,-320,-320.0,1,4,0.8,"Đồng bằng sông Cửu Long | 4.070 | 3.750 | -320 | 92,1%",6,"[{""logical_row"": 0, ""return"": ""Miền Bắc"", ""value_text"": ""620"", ""value"": 620.0}, {""logical_row"": 1, ""return"": ""Miền Trung"", ""value_text"": ""480"", ""value"": 480.0}, {""logical_row"": 2, ""return"": ""Miền Nam"", ""value_text"": ""670"", ""value"": 670.0}, {""logical_row"": 3, ""return"": ""Tây Nguyên"", ""value_text"": ""600"", ""value"": 600.0}, {""logical_row"": 4, ""return"": ""Đồng bằng sông Cửu Long"", ""value_text"": ""-320"", ""value"": -320.0}, {""logical_row"": 5, ""return"": ""Miền Bắc"", ""value_text"": ""860"", ""value"": 860.0}]",True,1,5,0,False,p01_b00025,1,5,0,False,p01_b00025
B-train-00003-q10,B-train-00003,argmin,"Trong bảng 1 ở trang 1, Khu vực nào có Kế hoạch nhỏ nhất?",Khu vực,Kế hoạch,Miền Trung,True,1.720,1720.0,2,1,0.2,"Miền Trung | 1.720 | 2.200 | 480 | 127,9%",Miền Bắc,950,950.0,1,5,1.0,"Miền Bắc | 950 | 1.810 | 860 | 190,5%",6,"[{""logical_row"": 0, ""return"": ""Miền Bắc"", ""value_text"": ""3.560"", ""value"": 3560.0}, {""logical_row"": 1, ""return"": ""Miền Trung"", ""value_text"": ""1.720"", ""value"": 1720.0}, {""logical_row"": 2, ""return"": ""Miền Nam"", ""value_text"": ""3.720"", ""value"": 3720.0}, {""logical_row"": 3, ""return"": ""Tây Nguyên"", ""value_text"": ""3.430"", ""value"": 3430.0}, {""logical_row"": 4, ""return"": ""Đồng bằng sông Cửu Long"", ""value_text"": ""4.070"", ""value"": 4070.0}, {""logical_row"": 5, ""return"": ""Miền Bắc"", ""value_text"": ""950"", ""value"": 950.0}]",False,1,2,0,False,p01_b00010,1,6,0,False,p01_b00030
B-train-00004-q02,B-train-00004,argmin,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng nhỏ nhất?",Gói thầu,Giá trúng,GT97,True,870,870.0,1,3,0.75,GT97 | Công ty Việt Phát | 1.050 | 870 | Đang thực hiện,GT97,870,870.0,1,3,0.75,GT97 | Công ty Việt Phát | 1.050 | 870 | Đang thực hiện,5,"[{""logical_row"": 0, ""return"": ""GT76"", ""value_text"": ""1.910"", ""value"": 1910.0}, {""logical_row"": 1, ""return"": ""GT02"", ""value_text"": ""1.370"", ""value"": 1370.0}, {""logical_row"": 2, ""return"": ""GT34"", ""value_text"": ""1.170"", ""value"": 1170.0}, {""logical_row"": 3, ""return"": ""GT97"", ""value_text"": ""870"", ""value"": 870.0}, {""logical_row"": 4, ""return"": ""GT40"", ""value_text"": ""2.300"", ""value"": 2300.0}]",True,1,4,0,False,p01_b00020,1,4,0,False,p01_b00020
B-train-00004-q06,B-train-00004,argmax,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng lớn nhất?",Gói thầu,Giá trúng,GT40,True,2.300,2300.0,1,4,1.0,GT40 | Công ty Nam Việt | 2.400 | 2.300 | Đang thực hiện,GT40,2.300,2300.0,1,4,1.0,GT40 | Công ty Nam Việt | 2.400 | 2.300 | Đang thực hiện,5,"[{""logical_row"": 0, ""return"": ""GT76"", ""value_text"": ""1.910"", ""value"": 1910.0}, {""logical_row"": 1, ""return"": ""GT02"", ""value_text"": ""1.370"", ""value"": 1370.0}, {""logical_row"": 2, ""return"": ""GT34"", ""value_text"": ""1.170"", ""value"": 1170.0}, {""logical_row"": 3, ""return"": ""GT97"", ""value_text"": ""870"", ""value"": 870.0}, {""logical_row"": 4, ""return"": ""GT40"", ""value_text"": ""2.300"", ""value"": 2300.0}]",True,1,5,0,False,p01_b00025,1,5,0,False,p01_b00025
B-train-00004-q09,B-train-00004,argmax,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá dự toán lớn nhất?",Gói thầu,Giá dự toán,GT40,True,2.400,2400.0,1,4,1.0,GT40 | Công ty Nam Việt | 2.400 | 2.300 | Đang thực hiện,GT40,2.400,2400.0,1,4,1.0,GT40 | Công ty Nam Việt | 2.400 | 2.300 | Đang thực hiện,5,"[{""logical_row"": 0, ""return"": ""GT76"", ""value_text"": ""1.910"", ""value"": 1910.0}, {""logical_row"": 1, ""return"": ""GT02"", ""value_text"": ""1.410"", ""value"": 1410.0}, {""logical_row"": 2, ""return"": ""GT34"", ""value_text"": ""1.340"", ""value"": 1340.0}, {""logical_row"": 3, ""return"": ""GT97"", ""value_text"": ""1.050"", ""value"": 1050.0}, {""logical_row"": 4, ""return"": ""GT40"", ""value_text"": ""2.400"", ""value"": 2400.0}]",True,1,5,0,False,p01_b00025,1,5,0,False,p01_b00025
B-train-00005-q03,B-train-00005,argmin,"Trong bảng 1 ở trang 1, Kho/điểm nào có Chi phí nhỏ nhất?",Kho/điểm,Chi phí,Kho Hà Nội,True,15.504,15504.0,1,5,0.7142857142857143,"Kho Hà Nội | 646 | 93,4% | 929 | 15.504",Kho Hà Nội,15.504,15504.0,1,5,0.7142857142857143,"Kho Hà Nội | 646 | 93,4% | 929 | 15.504",8,"[{""logical_row"": 0, ""return"": ""Kho Hà Nội"", ""value_text"": ""143.022"", ""value"": 143022.0}, {""logical_row"": 1, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""67.710"", ""value"": 67710.0}, {""logical_row"": 2, ""return"": ""Kho Bình Dương"", ""value_text"": ""63.388"", ""value"": 63388.0}, {""logical_row"": 3, ""return"": ""Kho Cần Thơ"", ""value_text"": ""138.115"", ""value"": 138115.0}, {""logical_row"": 4, ""return"": ""Kho trung chuyển"", ""value_text"": ""99.033"", ""value"": 99033.0}, {""logical_row"": 5, ""return"": ""Kho Hà Nội"", ""value_text"": ""15.504"", ""value"": 15504.0}, {""logical_row"": 6, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""97.468"", ""value"": 97468.0}, {""logical_row"": 7, ""return"": ""Kho Bình Dương"", ""value_text"": ""282.435"", ""value"": 282435.0}]",True,1,6,0,False,p01_b00030,1,6,0,False,p01_b00030
B-train-00005-q07,B-train-00005,argmax,"Trong bảng 1 ở trang 1, Kho/điểm nào có Chi phí lớn nhất?",Kho/điểm,Chi phí,Kho Bình Dương,True,282.435,282435.0,1,7,1.0,"Kho Bình Dương | 4955 | 85,6% | 344 | 282.435",Kho Bình Dương,282.435,282435.0,1,7,1.0,"Kho Bình Dương | 4955 | 85,6% | 344 | 282.435",8,"[{""logical_row"": 0, ""return"": ""Kho Hà Nội"", ""value_text"": ""143.022"", ""value"": 143022.0}, {""logical_row"": 1, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""67.710"", ""value"": 67710.0}, {""logical_row"": 2, ""return"": ""Kho Bình Dương"", ""value_text"": ""63.388"", ""value"": 63388.0}, {""logical_row"": 3, ""return"": ""Kho Cần Thơ"", ""value_text"": ""138.115"", ""value"": 138115.0}, {""logical_row"": 4, ""return"": ""Kho trung chuyển"", ""value_text"": ""99.033"", ""value"": 99033.0}, {""logical_row"": 5, ""return"": ""Kho Hà Nội"", ""value_text"": ""15.504"", ""value"": 15504.0}, {""logical_row"": 6, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""97.468"", ""value"": 97468.0}, {""logical_row"": 7, ""return"": ""Kho Bình Dương"", ""value_text"": ""282.435"", ""value"": 282435.0}]",True,1,8,0,False,p01_b00040,1,8,0,False,p01_b00040
B-train-00005-q09,B-train-00005,argmax,"Trong bảng 1 ở trang 1, Kho/điểm nào có Tồn cuối lớn nhất?",Kho/điểm,Tồn cuối,Kho Đà Nẵng,True,949,949.0,1,6,0.8571428571428571,"Kho Đà Nẵng | 3481 | 78,8% | 949 | 97.468",Kho Đà Nẵng,949,949.0,1,6,0.8571428571428571,"Kho Đà Nẵng | 3481 | 78,8% | 949 | 97.468",8,"[{""logical_row"": 0, ""return"": ""Kho Hà Nội"", ""value_text"": ""490"", ""value"": 490.0}, {""logical_row"": 1, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""900"", ""value"": 900.0}, {""logical_row"": 2, ""return"": ""Kho Bình Dương"", ""value_text"": ""478"", ""value"": 478.0}, {""logical_row"": 3, ""return"": ""Kho Cần Thơ"", ""value_text"": ""222"", ""value"": 222.0}, {""logical_row"": 4, ""return"": ""Kho trung chuyển"", ""value_text"": ""383"", ""value"": 383.0}, {""logical_row"": 5, ""return"": ""Kho Hà Nội"", ""value_text"": ""929"", ""value"": 929.0}, {""logical_row"": 6, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""949"", ""value"": 949.0}, {""logical_row"": 7, ""return"": ""Kho Bình Dương"", ""value_text"": ""344"", ""value"": 344.0}]",True,1,7,0,False,p01_b00035,1,7,0,False,p01_b00035
B-train-00005-q10,B-train-00005,argmin,"Trong bảng 1 ở trang 1, Kho/điểm nào có Đúng hạn nhỏ nhất?",Kho/điểm,Đúng hạn,Kho Đà Nẵng,True,"78,8%",78.8,1,6,0.8571428571428571,"Kho Đà Nẵng | 3481 | 78,8% | 949 | 97.468",Kho Đà Nẵng,"78,8%",78.8,1,6,0.8571428571428571,"Kho Đà Nẵng | 3481 | 78,8% | 949 | 97.468",8,"[{""logical_row"": 0, ""return"": ""Kho Hà Nội"", ""value_text"": ""92,2%"", ""value"": 92.2}, {""logical_row"": 1, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""86,5%"", ""value"": 86.5}, {""logical_row"": 2, ""return"": ""Kho Bình Dương"", ""value_text"": ""87,2%"", ""value"": 87.2}, {""logical_row"": 3, ""return"": ""Kho Cần Thơ"", ""value_text"": ""97,6%"", ""value"": 97.6}, {""logical_row"": 4, ""return"": ""Kho trung chuyển"", ""value_text"": ""81,3%"", ""value"": 81.3}, {""logical_row"": 5, ""return"": ""Kho Hà Nội"", ""value_text"": ""93,4%"", ""value"": 93.4}, {""logical_row"": 6, ""return"": ""Kho Đà Nẵng"", ""value_text"": ""78,8%"", ""value"": 78.8}, {""logical_row"": 7, ""return"": ""Kho Bình Dương"", ""value_text"": ""85,6%"", ""value"": 85.6}]",True,1,7,0,False,p01_b00035,1,7,0,False,p01_b00035
B-train-00006-q03,B-train-00006,argmin,"Trong bảng 1 ở trang 1, Điểm đến nào có Doanh thu nhỏ nhất?",Điểm đến,Doanh thu,Vịnh Hạ Long,True,26.136,26136.0,1,0,0.0,"Vịnh Hạ Long | 1.824 | 4.710 | 26.136 | 68,7%",Vịnh Hạ Long,26.136,26136.0,1,0,0.0,"Vịnh Hạ Long | 1.824 | 4.710 | 26.136 | 68,7%",5,"[{""logical_row"": 0, ""return"": ""Vịnh Hạ Long"", ""value_text"": ""26.136"", ""value"": 26136.0}, {""logical_row"": 1, ""return"": ""Phố cổ Hội An"", ""value_text"": ""45.330"", ""value"": 45330.0}, {""logical_row"": 2, ""return"": ""Đà Lạt"", ""value_text"": ""85.998"", ""value"": 85998.0}, {""logical_row"": 3, ""return"": ""Nha Trang"", ""value_text"": ""46.011"", ""value"": 46011.0}, {""logical_row"": 4, ""return"": ""Phú Quốc"", ""value_text"": ""77.511"", ""value"": 77511.0}]",True,1,1,0,False,p01_b00005,1,1,0,False,p01_b00005
