question_id,reasoning_type,solver_answer,solver_value,solver_full_row,solver_row_position_ratio,solver_entity_physical_cell_count,solver_seen_before,solver_is_bold,expected_answer,expected_value,expected_full_row,expected_row_position_ratio,expected_entity_physical_cell_count,expected_is_bold,extreme_gap,extreme_gap_ratio,num_logical_rows
B-train-00101-q08,argmax,Tây Nguyên,4580.0,"Tây Nguyên | 4.580 | 4.210 | -370 | 91,9% | 12,4% | HS3038 | 8.151 | Cần rà soát",0.375,2,False,False,Miền Trung,3840.0,"Miền Trung | 3.840 | 4.000 | 160 | 104,2% | 12,0% | HS8815 | 5.042 Đã đối chiếu | Cần rà soát",0.75,1,False,740.0,0.19270833333333334,9
B-train-00105-q04,argmin,Miền Bắc Đã đối chiếu,84.5,"Miền Bắc Đã đối chiếu | 3.540 | 2.990 | -550 | 84,5% | lượt | 11,1%",0.0,1,False,False,Tây Nguyên,87.9,"Tây Nguyên | 2.650 | 2.330 | -320 | 87,9% | 8,1%",0.3,2,False,3.4000000000000057,0.03868031854379984,11
B-train-00105-q10,argmin,Miền Bắc Đã đối chiếu,-550.0,"Miền Bắc Đã đối chiếu | 3.540 | 2.990 | -550 | 84,5% | lượt | 11,1%",0.0,1,False,False,Tây Nguyên,-320.0,"Tây Nguyên | 2.650 | 2.330 | -320 | 87,9% | 8,1%",0.3,2,False,230.0,0.71875,11
B-train-00106-q05,argmin,Trạm Nam Sông,1.5,"Trạm Nam Sông | 4.663 Đã đối chiếu | 5,2% | 321 | 4 | 3.441 | C | 27/03/2026 | 1,5%",0.6363636363636364,2,True,False,Trạm 110kV Bắc,7.8,"Trạm 110kV Bắc | 15.606 | 2,8% | 617 | 5 | 4.405 | B | 10/01/2026 | 7,8%",0.45454545454545453,2,False,6.3,0.8076923076923077,12
B-train-00120-q02,argmin,Hải Phòng,50218.0,"732 | 50.218 | 7,5% | Điều chỉnh kỳ sau | 8.128 | HS2369 | lượt",1.0,1,True,False,Cửa hàng 02,221336.0,"Cửa hàng 02 | 1030 | 292 | 221.336 | 7,2% | Điều chỉnh kỳ sau | 384 | HS5556 | triệu đồng",0.8461538461538461,3,False,171118.0,0.7731141793472368,14
B-train-00123-q09,argmin,Hải Phòng,472.0,Thanh long | 249 | 747 | Theo dõi sâu bệnh | A | 472 | hồ sơ,0.18181818181818182,2,True,False,Hà Nội,1481.0,Hà Nội | Cà phê | 42 | 294 | Theo dõi sâu bệnh | B | 1.481 | hồ sơ,0.6363636363636364,2,False,1009.0,0.6812964213369345,12
B-train-00124-q01,argmax,Hải Phòng,934.0,"4522 | 81,6% | 934 | 149.226 | hồ sơ | C",0.6363636363636364,1,True,False,Kho Hà Nội,921.0,"Kho Hà Nội | 3799 | 97,3% | 921 | 212.744 | lượt | A",0.45454545454545453,3,True,13.0,0.014115092290988056,12
B-train-00124-q08,argmin,Miền Bắc,4449.0,"990 | 5.560 | 50 | 10,9% | 4.449 | 192",0.8571428571428571,1,True,False,Cần Thơ 02,4964.0,"Cần Thơ 02 | 2.070 | 6.730 | 30 | -0,7% | 4.964 | 2.637",0.5714285714285714,1,False,515.0,0.10374697824335213,8
B-train-00127-q02,argmax,Miền Trung,2330.0,Công ty Đông Á | 2.330 | 2.240 | Chờ nghiệm thu | HS5597 | 2.965 | 5.986 | 2.701,0.08333333333333333,1,True,False,GT95,2320.0,GT95 | Công ty Minh An | 2.320 | 2.210 | Chờ nghiệm thu | HS4542 | 8.175 | 5.460 | 540,0.4166666666666667,1,False,10.0,0.004310344827586207,13
B-train-00131-q02,argmin,Đường vành đai,6770.0,"Đường vành đai | 6.770 | 3.008 | 44,4% | Không | C | 707 | hồ sơ | 21,8%",0.09090909090909091,3,False,False,Trường liên cấp,10030.0,"Trường liên cấp | 10.030 | 86,6% | Không | B | 5.361 | tấn | 11,2%",0.6363636363636364,1,True,3260.0,0.325024925224327,12
B-train-00132-q06,argmin,Kho Hà Nội Đã đối chiếu,78.9,"Kho Hà Nội Đã đối chiếu | 3507 | 78,9% | 211 | 112.224 | 5.022 | Đã đối chiếu | 5.027 | B",0.0,1,False,False,Kho Bình Dương,80.0,"Kho Bình Dương | 2189 | 80,0% | 949 | 80.993 | 1.597 | Đã đối chiếu | 2.382 | A",0.5384615384615384,3,True,1.0999999999999943,0.013749999999999929,14
B-train-00138-q08,argmin,Cần Thơ 02,860.0,"Cần Thơ 02 | 860 | 7.910 | 40 | -0,6% | 08/05/2026 | 13,6%",0.4444444444444444,2,False,False,Đà Nẵng 01,1080.0,"Đà Nẵng 01 | 1.080 | 6.840 | 0 | 5,1% | 34,4%",0.2222222222222222,1,False,220.0,0.2037037037037037,10
B-train-00142-q01,argmin,Đồng bằng sông Cửu Long,233.0,"827 | 7.443 | 1.414 | 19,0% | 9.328 | HS3480 | 32,2% | 233",0.2,1,True,False,Sức khỏe,1139.0,"Sức khỏe | 561 | 8.415 | 5.836 | 69,4% | 1.350 | HS1259 | 18,9% | 1.139",1.0,3,False,906.0,0.7954345917471466,11
B-train-00142-q03,argmax,Đồng bằng sông Cửu Long,9328.0,"827 | 7.443 | 1.414 | 19,0% | 9.328 | HS3480 | 32,2% | 233",0.2,1,True,False,Sức khỏe,5589.0,"Sức khỏe | 78 | 702 | 411 | 58,5% | 5.589 | HS5446 | 36,6% | 4.998",0.0,3,False,3739.0,0.6689926641617463,11
B-train-00142-q05,argmin,Miền Nam,58.7,"Miền Nam | 1.380 Đã đối chiếu | 810 | -570 | 58,7% | 6.317 | 8,1%",0.7,2,True,True,Miền Bắc,88.8,"Miền Bắc | 3.210 | 2.850 | -360 | 88,8% | 7.657 | 11,9%",0.0,2,False,30.099999999999994,0.3389639639639639,11
B-train-00143-q03,argmin,Cần Thơ,10.3,"1335 | 628.785 | 2,9% | 7.059 | 10,3% | 6.559 | Chưa đủ chứng từ",0.7,1,True,False,Cửa hàng 01,15.1,"Cửa hàng 01 | 3156 | 1855 | 695.625 | 4,2% | 7.028 | 15,1% | 3.576 | Đã đối chiếu",1.0,3,False,4.799999999999999,0.3178807947019867,11
B-train-00149-q05,argmin,Cụm BTS-01,8763.0,"Cụm BTS-01 | 8.763 | 2,6% | 1 | 11/11/2026 | Đã đối chiếu",0.0,3,False,True,Cụm BTS-02,17297.0,"Cụm BTS-02 | 19.107 | 17.297 | 1,3% | 30 | 01/06/2026 | Điều chỉnh kỳ sau",0.06666666666666667,3,False,8534.0,0.4933803549748511,16
B-train-00158-q08,argmax,Miền Nam,7.1,"3484 | 1374 | 655.398 | 7,1% | 15/01/2026 | HS1275",0.08333333333333333,1,True,False,Điểm bán phía Bắc,6.8,"Điểm bán phía Bắc | 5275 | 2063 | 548.758 | 6,8% | 21/01/2026 | HS3221",0.25,2,False,0.2999999999999998,0.044117647058823505,13
B-train-00160-q06,argmax,Cần Thơ,10270.0,"3.780 | 10.270 | 100 | 15,8% | Đã đối chiếu | 06/03/2026 | 2.482",0.125,1,True,False,Hải Phòng 02,10000.0,"Hải Phòng 02 | 6.750 | 10.000 | 410 | -1,7% | Đã đối chiếu | 27/02/2026 | 4.726",0.375,3,False,270.0,0.027,17
B-train-00166-q04,argmax,Hành chính,9409.0,Hành chính | 38 | 0 | +3 | Cần rà soát | 9.409,0.4,2,False,False,Công nghệ,8928.0,Công nghệ | 13 | 9 | 4 | -4 | A | 8.928,0.3,2,False,481.0,0.053875448028673834,11
B-train-00166-q06,argmin,Đồng bằng sông Cửu Long,-8.0,30 | 22 | 8 | -8 | C | 6.667,0.6,1,True,False,Kế toán,-7.0,Kế toán | 38 | 31 | -7 | B | 7.385,0.1,2,False,1.0,0.14285714285714285,11
B-train-00167-q05,argmax,Miền Nam,2110.0,Công ty Việt Phát | 2.270 | 2.110 | Đang thực hiện | Cần rà soát | 13/11/2026 | Chưa đủ chứng từ | 6.303,0.9285714285714286,1,True,False,GT07,2080.0,GT07 | Công ty Nam Việt | 2.080 | 2.080 | Chờ nghiệm thu | B | 03/06/2026 | Đã đối chiếu | 9.825,1.0,1,False,30.0,0.014423076923076924,15
B-train-00167-q09,argmax,Miền Nam,2270.0,Công ty Việt Phát | 2.270 | 2.110 | Đang thực hiện | Cần rà soát | 13/11/2026 | Chưa đủ chứng từ | 6.303,0.9285714285714286,1,True,False,GT07,2080.0,GT07 | Công ty Nam Việt | 2.080 | 2.080 | Chờ nghiệm thu | B | 03/06/2026 | Đã đối chiếu | 9.825,1.0,1,False,190.0,0.09134615384615384,15
B-train-00168-q01,argmax,Miền Bắc,119.0,"Miền Bắc | 1.740 Đã đối chiếu | 2.070 | 330 | 119,0% | 1.647 | 240 | 5.768 | tấn",0.0,4,False,False,Miền Nam,115.3,"Miền Nam | 3.270 | 3.770 | 500 | 115,3% | 142 | 4.457 | 6.138 | hồ sơ",0.4666666666666667,2,False,3.700000000000003,0.032090199479618414,16
B-train-00169-q08,argmin,Tây Nguyên,65.3,"950 | 620 | -330 | 65,3% | 7.965 | HS3962 | triệu đồng | Cần rà soát",0.45454545454545453,3,True,False,Miền Trung,73.9,"Miền Trung | 1.800 | 1.330 | -470 | 73,9% | 7.480 | HS7304 | lượt | C",0.09090909090909091,3,False,8.600000000000009,0.11637347767253055,12
B-train-00172-q10,argmin,Lâm Đồng,2218.0,"4505 | 3368 | 2.724.712 | 2,5% | 2.218 | HS9018",0.5454545454545454,1,True,True,Cửa hàng 01,3413.0,"Cửa hàng 01 | 2893 | 1492 | 438.648 | 3,1% Đã đối chiếu | 3.413 | HS0272",0.9090909090909091,1,False,1195.0,0.3501318488133607,12
B-train-00173-q08,argmax,Cụm BTS-01,53935.0,"Cụm BTS-01 | 53.935 | 46.088 | 0,5% | 55 | 8.910 | C | triệu đồng",0.0,2,False,False,Khu vực ven biển,53137.0,"Khu vực ven biển | 53.137 | 36.316 | 2,4% | 15 | 7.490 | B | triệu đồng",1.0,1,False,798.0,0.015017784218153077,8
B-train-00179-q08,argmax,Hà Nội,8599.0,"5.887 | 3.686 | 76.584 | 81,5% | HS7078 | 8.599 | C | 7.903",0.2727272727272727,1,True,False,Vịnh Hạ Long,7885.0,"Vịnh Hạ Long | 16.533 | 773 | 138.448 | 64,2% | HS4369 | 7.885 | Cần rà soát | 8.197",0.45454545454545453,3,False,714.0,0.09055168040583386,12
B-train-00181-q08,argmax,Miền Nam,1683135.0,"4349 | 2979 | 1.683.135 | 3,3% | triệu đồng | 5.146",0.5454545454545454,1,True,False,Điểm bán phía Bắc,1573650.0,"Điểm bán phía Bắc | 2964 | 1950 | 1.573.650 | 1,4% | hồ sơ | 44",0.2727272727272727,2,False,109485.0,0.06957392050328853,12
B-train-00188-q05,argmin,Miền Trung,1010.0,"6.490 | 1.010 | 290 | 5,7% | 1.077 | Cần rà soát | 4.845",0.29411764705882354,1,True,False,Đà Nẵng 01,1040.0,"Đà Nẵng 01 | 5.170 | 1.040 | 330 | 12,4% | 6.144 | C | 6.590",0.7058823529411765,4,True,30.0,0.028846153846153848,18
B-train-00191-q02,argmax,Đồng Nai,8.4,"7.213 | 8,4% | 811 | 7 | HS3333 | 1.641 | A | 3.153",0.8181818181818182,1,True,False,Trạm 220kV Trung,8.3,"Trạm 220kV Trung | 3.564 | 8,3% | 741 | 5 | HS8790 | 4.803 | C | 646",0.5454545454545454,2,False,0.09999999999999964,0.012048192771084293,12
B-train-00196-q10,argmax,Hải Phòng,8082.0,"Hải Phòng | Cà phê Đã đối chiếu | 898 | 8.082 | Ổn định | 4.058 | 20,5%",0.125,2,False,False,Miền Nam,6200.0,"Miền Nam | Hồ tiêu | 775 | 6.200 | Tăng nhẹ | 1.260 | 23,7%",0.375,1,False,1882.0,0.3035483870967742,9
B-train-00197-q03,argmax,Cửa hàng 01,3236.0,"Cửa hàng 01 | 5195 Đã đối chiếu | 3236 | 2.511.136 | 1,0% | 8.305 | 6.146 | Cần rà soát",0.2727272727272727,2,False,False,Điểm bán phía Bắc,2631.0,"Điểm bán phía Bắc | 4233 | 2631 | 1.978.512 | 4,5% | 3.625 | 6.594 | B",0.09090909090909091,3,False,605.0,0.2299505891296085,12
B-train-00201-q04,argmax,Tây Nguyên,74.0,"36.631 | 25.409 | 1,4% | 74 | Chưa đủ chứng từ | A | tấn | 10/03/2026",0.375,1,True,True,Cụm BTS-02,72.0,"Cụm BTS-02 | 14.071 | 91.756 | 0,2% | 72 | Đã đối chiếu | B Đã đối chiếu | hồ sơ | 12/09/2026",0.75,2,False,2.0,0.027777777777777776,9
B-train-00201-q06,argmin,Cụm BTS-02 Đã đối chiếu,164.0,"Cụm BTS-02 Đã đối chiếu | 10.560 | 85.458 | 0,2% | 0 | C | 589 | 20,8% | 164",0.8571428571428571,1,False,False,Khu vực ven biển,1334.0,"Khu vực ven biển | 34.924 | 4.735 | 1,1% | 88 | A | 4.815 | 12,2% | 1.334",1.0,1,False,1170.0,0.8770614692653673,8
B-train-00202-q01,argmin,Trường liên cấp Đã đối chiếu,12.4,"Trường liên cấp Đã đối chiếu | 2.190 | 271 | 12,4% | Không | HS5418 | tấn",0.7,1,False,False,Khu tái định cư,16.6,"Khu tái định cư | 3.340 | 555 | 16,6% | Không | HS6787 | kWh",0.9,2,False,4.200000000000001,0.2530120481927711,11
B-train-00202-q09,argmin,Trường liên cấp Đã đối chiếu,271.0,"Trường liên cấp Đã đối chiếu | 2.190 | 271 | 12,4% | Không | HS5418 | tấn",0.7,1,False,False,Khu tái định cư,555.0,"Khu tái định cư | 3.340 | 555 | 16,6% | Không | HS6787 | kWh",0.9,2,False,284.0,0.5117117117117117,11
B-train-00203-q02,argmax,Lâm Đồng,5495.0,"Cà phê | 785 | 5.495 | Tăng nhẹ | 294 | 20,0%",0.06666666666666667,2,True,False,Hà Nội,4616.0,"Hà Nội | Cà phê | 577 | 4.616 | Theo dõi sâu bệnh | 8.221 | 4,2%",0.4666666666666667,2,False,879.0,0.19042461005199307,16
B-train-00203-q08,argmax,Lâm Đồng,785.0,"Cà phê | 785 | 5.495 | Tăng nhẹ | 294 | 20,0%",0.06666666666666667,2,True,False,Đà Nẵng,756.0,"Đà Nẵng | Thanh long | 756 | 2.268 | Ổn định | 7.663 | 34,5%",0.13333333333333333,2,False,29.0,0.03835978835978836,16
B-train-00203-q09,argmin,Lâm Đồng,294.0,"Cà phê | 785 | 5.495 | Tăng nhẹ | 294 | 20,0%",0.06666666666666667,2,True,False,Hải Phòng,1693.0,"Hải Phòng | Hồ tiêu | 558 | 3.348 | Tăng nhẹ | 1.693 | 8,9%",1.0,2,False,1399.0,0.826343768458358,16
B-train-00205-q03,argmax,Tây Nguyên,99.0,Máy chiếu | Hộp | 111 | 99 | 97 | 113,0.4666666666666667,1,True,False,VT573,95.0,VT573 | Máy quét tài liệu | Hộp | 99 | 95 | 105 | 89,0.13333333333333333,1,False,4.0,0.042105263157894736,16
B-train-00209-q03,argmin,Đồng bằng sông Cửu Long,966.0,"966 | 89,6% | 583 | 61.824 | 5,6% | hồ sơ | 1.886 | 2.731",0.8,1,True,True,Kho Cần Thơ,1697.0,"Kho Cần Thơ | 1697 | 89,7% | 651 | 67.880 | 31,9% | triệu đồng | 4.650 Đã đối chiếu | 2.174",0.3,1,False,731.0,0.4307601649970536,11
B-train-00210-q05,argmin,Đà Nẵng,0.1,"5538 | 2388 | 893.112 | 0,1% | 07/10/2026 | C",0.5555555555555556,1,True,False,Cửa hàng 01,0.6,"Cửa hàng 01 | 702 | 212.004 | 0,6% | 15/02/2026 | A",0.0,1,False,0.5,0.8333333333333334,10
B-train-00210-q06,argmin,Điểm bán phía Bắc,117845.0,"Điểm bán phía Bắc | 1538 Đã đối chiếu | 637 | 117.845 | 2,7% | 23/01/2026 | A",0.8888888888888888,2,True,False,Cửa hàng 01,212004.0,"Cửa hàng 01 | 702 | 212.004 | 0,6% | 15/02/2026 | A",0.0,1,False,94159.0,0.44413784645572724,10
B-train-00216-q07,argmin,Hà Nội,1.0,Bộ | 98 | 1 | 91 | 8,1.0,1,True,False,VT008,22.0,VT008 | Ổ cứng di động | Ram | 171 | 22 | 79 | 114 Đã đối chiếu,0.7142857142857143,1,False,21.0,0.9545454545454546,8
B-train-00226-q02,argmin,Hải Phòng,313.0,"1399 | 313 | 266.989 | 4,1% | Chưa đủ chứng từ | 31,2% | 943",0.2727272727272727,1,True,True,Cửa hàng 02,371.0,"Cửa hàng 02 | 1732 | 371 | 310.156 | 1,5% | Đã đối chiếu | 20,3% | 8.065",0.5454545454545454,3,False,58.0,0.15633423180592992,12
B-train-00238-q04,argmin,Cần Thơ,6406.0,"50.566 | 6.406 | 2,2% | Chưa đủ chứng từ | kWh | 14,7% | 6.687",0.6363636363636364,1,True,False,Cụm BTS-02,12194.0,"Cụm BTS-02 | 17.287 | 12.194 | 0,9% | 2 | Điều chỉnh kỳ sau | tấn | 5,5% | 7.744",0.09090909090909091,2,False,5788.0,0.4746596686895194,12
B-train-00242-q08,argmax,Miền Nam,4960.0,"Miền Nam | 4.960 | 4.940 | -20 | 99,6% | triệu đồng | 7.334 | 3.651",0.2857142857142857,2,False,False,Đồng Nai,4530.0,"Đồng Nai | 4.530 | 4.710 | 180 | 104,0% | tấn | 8.417 | 574",0.7142857142857143,1,False,430.0,0.09492273730684327,8
B-train-00243-q02,argmin,Đồng Nai,36840.0,"3.714 | 5.496 | 36.840 | 64,9% | HS3530 | 12,2%",0.18181818181818182,1,True,False,Phú Quốc,43818.0,"Phú Quốc | 19.414 | 2.495 | 43.818 | 68,2% | HS4510 | 38,0%",0.8181818181818182,2,False,6978.0,0.1592496234424209,12
B-train-00253-q07,argmin,Đồng Nai,351.0,"6.418 | 7,6% | 888 | 3 | 351 | 08/02/2026",0.8571428571428571,1,True,False,Trạm Nam Sông,687.0,"Trạm Nam Sông | 15.842 | 6,6% | 174 | 5 | 687 | 6.808",0.2857142857142857,2,False,336.0,0.4890829694323144,8
B-train-00256-q08,argmin,Đồng Nai,-5.0,41 | 36 | 5 | -5 | Đã đối chiếu | 25/02/2026 | 8.801 | C,0.14285714285714285,1,True,False,Công nghệ,-4.0,Công nghệ | 36 | 32 | 4 | -4 | Chưa đủ chứng từ | 26/09/2026 | 801 | A,0.42857142857142855,1,False,1.0,0.25,8
B-train-00262-q05,argmin,Miền Nam,405.0,"Miền Nam | 3.810 | -90 | 97,7% | 26/12/2026 | 405 | A | 25,6%",0.8571428571428571,2,True,False,Tây Nguyên,449.0,"Tây Nguyên | 3.350 | 4.180 | 830 | 124,8% | 449 | C | 6,4%",0.21428571428571427,3,False,44.0,0.09799554565701558,15
B-train-00263-q02,argmax,Miền Bắc,9687.0,"Rau màu | 99 | 792 | Ổn định | 1.259 | 32,1% | 6.072 | 9.687",0.45454545454545453,1,True,False,Hà Nội,9501.0,"Hà Nội | Cà phê | 856 | 4.280 | Đạt kế hoạch | 6.867 | 13,6% | 9.826 | 9.501",0.6363636363636364,2,False,186.0,0.019576886643511208,12
B-train-00263-q10,argmin,Miền Bắc,1259.0,"Rau màu | 99 | 792 | Ổn định | 1.259 | 32,1% | 6.072 | 9.687",0.45454545454545453,1,True,False,Khánh Hòa,2412.0,"Khánh Hòa | Xoài | 806 | 7.254 | Ổn định | 2.412 | 23,4% | 1.921 | 5.584",0.9090909090909091,2,False,1153.0,0.47802653399668327,12
B-train-00267-q10,argmax,Khánh Hòa,865.0,"4852 | 85,6% | 865 | 208.636 | 7.338 | B | 2.371",0.8888888888888888,1,True,False,Kho Bình Dương,851.0,"Kho Bình Dương | 5592 | 98,4% | 851 | 1.130 | C | 8.620",0.2222222222222222,1,False,14.0,0.01645123384253819,10
B-train-00269-q04,argmax,Đà Nẵng,13389.0,"13.389 | 53.355 | 83,1% | 4.927 | 3.012 | tấn",0.42857142857142855,1,True,False,Đà Lạt,13023.0,"Đà Lạt | 13.023 | 516 | 94.773 | 82,7% | 3.751 | 3.920 | kWh",1.0,1,False,366.0,0.02810412347385395,8
B-train-00272-q02,argmax,Hải Phòng 02,9770.0,"Hải Phòng 02 | 9.770 | 810 | 510 | -1,9% | 1,4% | 4.047 | 2.883 | triệu đồng",0.5454545454545454,3,True,False,Đồng bằng sông Cửu Long,9300.0,"Đồng bằng sông Cửu Long | 9.300 | 840 | 680 | 7,8% | 18,4% | 2.770 | 7.758 | lượt",0.2727272727272727,1,False,470.0,0.05053763440860215,12
B-train-00273-q09,argmax,Miền Trung,860.0,"1.390 | 2.250 | 860 | 161,9% | 07/04/2026 | HS2605 | lượt | 8.591",0.6923076923076923,4,True,False,Miền Nam,650.0,"Miền Nam | 4.770 | 5.420 | 650 | 113,6% | 18/04/2026 | HS7371 | lượt | 8.132",0.9230769230769231,3,False,210.0,0.3230769230769231,14
B-train-00279-q01,argmin,Hải Phòng,129.0,"11.188 | 1,7% | 129 | 7 | Chưa đủ chứng từ | C",1.0,1,True,False,Trạm 110kV Bắc,134.0,"Trạm 110kV Bắc | 13.484 | 3,4% | 134 | 4 | Chưa đủ chứng từ | A",0.6666666666666666,3,False,5.0,0.03731343283582089,16
B-train-00281-q10,argmax,Đà Nẵng,2390.0,Công ty Đông Á | 2.430 | 2.390 | Đã duyệt | 4.754 | 25/02/2026 | 7.235,0.5454545454545454,1,True,False,GT87,2380.0,GT87 | Công ty Việt Phát | 2.440 | 2.380 | Chờ nghiệm thu | 9.192 | 28/08/2026 | 6.406,0.7272727272727273,1,False,10.0,0.004201680672268907,12
B-train-00283-q04,argmax,Hải Phòng,451.0,"451 | 84 | 0 | 45 phút | tấn | 23,3% | 03/12/2026",0.7333333333333333,1,True,False,Tai Mũi Họng,446.0,"Tai Mũi Họng | 446 | 17 | 0 | 56 phút | kWh | 13,8% | 14/06/2026",0.3333333333333333,1,False,5.0,0.011210762331838564,16
B-train-00285-q04,argmin,Cần Thơ,1032.0,"20 | 18 | 2 | -2 | C | 33,8% | 1.032",0.2857142857142857,1,True,False,Công nghệ,2433.0,"Công nghệ | 18 | 14 | 4 | -4 | Cần rà soát | 14,2% | 2.433",0.42857142857142855,1,False,1401.0,0.5758323057953144,8
B-train-00297-q01,argmin,Khánh Hòa,6.0,9 | 6 | 3 | -3 | HS6073 | 6.487 | A | kWh,0.14285714285714285,1,True,False,Hành chính,8.0,Hành chính | 8 | 3 | -3 | HS0098 Đã đối chiếu | 2.762 | Cần rà soát | triệu đồng,0.5714285714285714,1,False,2.0,0.25,8
B-train-00297-q05,argmin,Khánh Hòa,9.0,9 | 6 | 3 | -3 | HS6073 | 6.487 | A | kWh,0.14285714285714285,1,True,False,Công nghệ,20.0,Công nghệ | 20 | 14 | 6 | -6 | HS6482 | 2.565 | C | lượt,0.42857142857142855,1,False,11.0,0.55,8
B-train-00303-q04,argmax,Lâm Đồng,3749.0,"648 | 5.832 | 3.749 | 64,3% | 279 | 24/01/2026",0.25,1,True,False,Tài sản,2489.0,"Tài sản | 684 | 7.524 | 2.489 | 33,1% | 1.145 | 20/06/2026",0.875,1,False,1260.0,0.5062274005624748,9
B-train-00308-q01,argmax,Cụm BTS-02,36.2,"Cụm BTS-02 | 69.020 | 3,1% | 84 | 36,2% | 7.484 | HS3731",1.0,2,True,False,Cụm BTS-01,29.4,"Cụm BTS-01 | 14.180 | 79.669 | 2,7% | 89 | 29,4% | 8.953 | HS2360",0.9090909090909091,3,False,6.800000000000004,0.23129251700680287,12
B-train-00310-q10,argmax,Lâm Đồng,9302.0,"9.341 | 21.694 | 88,5% | 341 | 13,3% | 8.688 | 9.302",0.7272727272727273,1,True,False,Phố cổ Hội An,8550.0,"Phố cổ Hội An | 9.246 | 786 | 60.192 | 49,2% | 7.007 | 33,7% | 613 | 8.550",1.0,3,False,752.0,0.087953216374269,12
B-train-00320-q07,argmin,Đồng bằng sông Cửu Long,354.0,Cà phê | 59 | 354 | Ổn định | 20/06/2026 | HS2810,0.8666666666666667,1,False,False,Khánh Hòa,939.0,Khánh Hòa | Xoài | 313 | 939 | Đạt kế hoạch | 19/08/2026 | HS2492,0.6666666666666666,2,False,585.0,0.6230031948881789,16
B-train-00321-q09,argmax,Đồng Nai,880.0,"1.150 | 2.030 | 880 | 176,5% | HS3193 | 1.969 | 3.427",0.9090909090909091,1,True,False,Tây Nguyên,870.0,"Tây Nguyên | 1.960 | 2.830 | 870 | 144,4% | HS1389 | 2.829 | 4.293",0.7272727272727273,2,False,10.0,0.011494252873563218,12
B-train-00327-q07,argmin,Miền Nam,1553.0,"45.827 | 83.186 | 2,5% | 37 | 1.553 | 13/02/2026 | 23,1%",0.6666666666666666,1,True,False,Khu vực miền núi,3480.0,"Khu vực miền núi | 49.822 | 19.447 | 3,0% | 44 | 3.480 | 18/03/2026 | 6,9%",0.4444444444444444,2,False,1927.0,0.5537356321839081,10
