document_id,page,table,value_column,reasoning_type,questions,correct,expected_rows,solver_rows,expected_row_count,solver_row_count
B-train-00036,1,1,Kế hoạch,argmin,1,0,3,6,1,1
B-train-00037,1,1,Chuyển tuyến,argmax,1,1,4,4,1,1
B-train-00037,1,1,Nhập viện,argmin,1,1,6,6,1,1
B-train-00037,1,1,Lượt khám,argmin,1,1,6,6,1,1
B-train-00037,1,1,Nhập viện,argmax,1,1,5,5,1,1
B-train-00038,1,1,Giá dự toán,argmax,1,1,5,5,1,1
B-train-00038,1,1,Giá dự toán,argmin,1,1,6,6,1,1
B-train-00039,1,1,Hiện có,argmin,1,1,5,5,1,1
B-train-00039,1,1,Định biên,argmax,1,1,2,2,1,1
B-train-00039,1,1,Định biên,argmin,1,1,5,5,1,1
B-train-00039,1,1,Tuyển mới,argmax,1,1,5,5,1,1
B-train-00040,1,1,Lượt khám,argmax,1,1,1,1,1,1
B-train-00040,1,1,Chuyển tuyến,argmax,1,1,2,2,1,1
B-train-00040,1,1,Nhập viện,argmin,1,1,3,3,1,1
B-train-00040,1,1,Lượt khám,argmin,1,1,2,2,1,1
B-train-00041,1,1,Huy động,argmin,1,1,6,6,1,1
B-train-00041,1,1,Huy động,argmax,1,1,8,8,1,1
B-train-00041,1,1,Nợ quá hạn,argmin,1,1,5,5,1,1
B-train-00041,1,1,Nợ quá hạn,argmax,1,1,1,1,1,1
B-train-00042,1,1,Doanh thu,argmin,1,1,6,6,1,1
B-train-00042,1,1,Đúng giờ,argmax,1,1,6,6,1,1
B-train-00042,1,1,Hành khách,argmax,1,1,4,4,1,1
B-train-00042,1,1,Đúng giờ,argmin,1,1,2,2,1,1
B-train-00043,1,1,Doanh thu,argmin,1,1,4,4,1,1
B-train-00043,1,1,Đúng giờ,argmax,1,1,3,3,1,1
B-train-00043,1,1,Doanh thu,argmax,1,1,1,1,1,1
B-train-00043,1,1,Đúng giờ,argmin,1,1,2,2,1,1
B-train-00044,1,1,Tiến độ,argmin,1,1,1,1,1,1
B-train-00044,1,1,Giá trị hợp đồng,argmax,1,1,4,4,1,1
B-train-00044,1,1,Giá trị hợp đồng,argmin,1,1,1,1,1,1
B-train-00044,1,1,Tiến độ,argmax,1,1,3,3,1,1
B-train-00045,1,1,Lưu lượng,argmax,1,1,8,8,1,1
B-train-00045,1,1,Phản ánh,argmin,1,1,4,4,1,1
B-train-00045,1,1,Lưu lượng,argmin,1,1,6,6,1,1
B-train-00045,1,1,Tỷ lệ rớt cuộc,argmax,1,1,2,2,1,1
B-train-00046,1,1,Nợ quá hạn,argmin,1,1,2,2,1,1
B-train-00046,1,1,Dư nợ,argmin,1,1,3,3,1,1
B-train-00046,1,1,Nợ quá hạn,argmax,1,1,1,1,1,1
B-train-00046,1,1,Tăng trưởng,argmax,1,1,3,3,1,1
B-train-00047,1,1,Sản lượng,argmin,1,0,5,2,1,1
B-train-00047,1,1,Tổn thất,argmax,1,1,5,5,1,1
B-train-00047,1,1,Sản lượng,argmax,1,0,3,1,1,1
B-train-00047,1,1,Sự cố,argmin,1,1,2,2,1,1
B-train-00048,1,1,Nợ quá hạn,argmin,1,1,3,3,1,1
B-train-00048,1,1,Dư nợ,argmin,1,1,3,3,1,1
B-train-00048,1,1,Tăng trưởng,argmax,1,1,1,1,1,1
B-train-00049,1,1,Lượt khám,argmin,1,1,4,4,1,1
B-train-00049,1,1,Nhập viện,argmax,1,1,7,7,1,1
B-train-00049,1,1,Lượt khám,argmax,1,0,3,8,1,1
B-train-00049,1,1,Nhập viện,argmin,1,1,1,1,1,1
B-train-00050,1,1,Lượt khám,argmax,1,1,4,4,1,1
B-train-00050,1,1,Lượt khám,argmin,1,1,2,2,1,1
B-train-00050,1,1,Chuyển tuyến,argmax,1,1,2,2,1,1
B-train-00050,1,1,Chuyển tuyến,argmin,1,1,4,4,1,1
B-train-00051,1,1,Huy động,argmin,1,1,5,5,1,1
B-train-00051,1,1,Nợ quá hạn,argmin,1,1,5,5,1,1
B-train-00051,1,1,Tăng trưởng,argmax,1,1,3,3,1,1
B-train-00051,1,1,Huy động,argmax,1,1,6,6,1,1
B-train-00052,1,1,Sản lượng,argmax,1,1,2,2,1,1
B-train-00052,1,1,Sự cố,argmin,1,1,1,1,1,1
B-train-00052,1,1,Công suất đỉnh,argmin,1,1,1,1,1,1
B-train-00052,1,1,Công suất đỉnh,argmax,1,1,3,3,1,1
B-train-00053,1,1,Định biên,argmax,1,1,1,1,1,1
B-train-00053,1,1,Tuyển mới,argmax,1,1,2,2,1,1
B-train-00053,1,1,Tuyển mới,argmin,1,1,5,5,1,1
B-train-00053,1,1,Hiện có,argmin,1,1,5,5,1,1
B-train-00054,1,1,Giá dự toán,argmax,1,1,2,2,1,1
B-train-00054,1,1,Giá trúng,argmax,1,1,5,5,1,1
B-train-00055,1,1,Tiến độ,argmax,1,1,5,5,1,1
B-train-00055,1,1,Giải ngân,argmin,1,1,3,3,1,1
B-train-00055,1,1,Giá trị hợp đồng,argmax,1,1,5,5,1,1
B-train-00055,1,1,Tiến độ,argmin,1,1,4,4,1,1
B-train-00056,1,1,Bồi thường,argmax,1,1,3,3,1,1
B-train-00056,1,1,Bồi thường,argmin,1,1,4,4,1,1
B-train-00056,1,1,Tỷ lệ,argmin,1,1,4,4,1,1
B-train-00056,1,1,Tỷ lệ,argmax,1,1,3,3,1,1
B-train-00057,1,1,Huy động,argmin,1,1,6,6,1,1
B-train-00057,1,1,Tăng trưởng,argmax,1,1,2,2,1,1
B-train-00057,1,1,Nợ quá hạn,argmax,1,1,8,8,1,1
B-train-00057,1,1,Nợ quá hạn,argmin,1,1,3,3,1,1
B-train-00058,1,1,Tổn thất,argmin,1,1,2,2,1,1
B-train-00058,1,1,Công suất đỉnh,argmin,1,1,6,6,1,1
B-train-00058,1,1,Tổn thất,argmax,1,1,5,5,1,1
B-train-00058,1,1,Sản lượng,argmax,1,1,5,5,1,1
B-train-00059,1,1,Nợ quá hạn,argmax,1,1,7,7,1,1
B-train-00059,1,1,Huy động,argmin,1,1,6,6,1,1
B-train-00059,1,1,Tăng trưởng,argmax,1,1,3,3,1,1
B-train-00059,1,1,Tăng trưởng,argmin,1,1,1,1,1,1
B-train-00060,1,1,Công suất phòng,argmin,1,1,7,7,1,1
B-train-00060,1,1,Khách quốc tế,argmin,1,1,2,2,1,1
B-train-00060,1,1,Công suất phòng,argmax,1,1,4,4,1,1
B-train-00061,1,1,Giá trị hợp đồng,argmin,1,1,5,5,1,1
B-train-00061,1,1,Tiến độ,argmax,1,1,5,5,1,1
B-train-00061,1,1,Tiến độ,argmin,1,1,4,4,1,1
B-train-00061,1,1,Giải ngân,argmax,1,1,3,3,1,1
B-train-00062,1,1,Giá trúng,argmin,1,1,3,3,1,1
B-train-00062,1,1,Giá trúng,argmax,1,1,5,5,1,1
B-train-00062,1,1,Giá dự toán,argmin,1,1,3,3,1,1
B-train-00062,1,1,Giá dự toán,argmax,1,1,5,5,1,1
B-train-00063,1,1,Doanh thu,argmin,1,1,2,2,1,1
B-train-00063,1,1,Công suất phòng,argmin,1,1,3,3,1,1
B-train-00063,1,1,Công suất phòng,argmax,1,1,1,1,1,1
B-train-00063,1,1,Khách quốc tế,argmax,1,1,6,6,1,1
B-train-00064,1,1,Hiện có,argmin,1,1,2,2,1,1
B-train-00064,1,1,Thiếu/thừa,argmin,1,1,1,1,1,1
B-train-00064,1,1,Tuyển mới,argmax,1,1,1,1,1,1
B-train-00064,1,1,Hiện có,argmax,1,1,5,5,1,1
B-train-00065,1,1,Giải ngân,argmax,1,1,5,5,1,1
B-train-00065,1,1,Tiến độ,argmin,1,1,4,4,1,1
B-train-00065,1,1,Giải ngân,argmin,1,1,2,2,1,1
B-train-00065,1,1,Giá trị hợp đồng,argmax,1,1,4,4,1,1
B-train-00066,1,1,Chuyển tuyến,argmax,1,1,3,3,1,1
B-train-00066,1,1,Lượt khám,argmin,1,1,1,1,1,1
B-train-00066,1,1,Nhập viện,argmin,1,1,2,2,1,1
B-train-00066,1,1,Lượt khám,argmax,1,1,4,4,1,1
B-train-00067,1,1,Giá trúng,argmax,1,1,6,6,1,1
B-train-00067,1,1,Giá dự toán,argmin,1,1,2,2,1,1
B-train-00067,1,1,Giá trúng,argmin,1,1,2,2,1,1
B-train-00068,1,1,Doanh thu,argmin,1,1,2,2,1,1
B-train-00068,1,1,Đúng giờ,argmin,1,1,6,6,1,1
B-train-00068,1,1,Hành khách,argmax,1,1,5,5,1,1
B-train-00069,1,1,Diện tích (ha),argmax,1,1,5,5,1,1
B-train-00069,1,1,Sản lượng (tấn),argmax,1,1,5,5,1,1
B-train-00069,1,1,Diện tích (ha),argmin,1,1,4,4,1,1
B-train-00070,1,1,Lưu lượng,argmin,1,1,5,5,1,1
B-train-00070,1,1,Phản ánh,argmax,1,1,1,1,1,1
B-train-00070,1,1,Tỷ lệ rớt cuộc,argmax,1,1,5,5,1,1
B-train-00071,1,1,Đúng giờ,argmax,1,1,4,4,1,1
B-train-00071,1,1,Đúng giờ,argmin,1,1,5,5,1,1
B-train-00071,1,1,Hành khách,argmax,1,1,6,6,1,1
B-train-00071,1,1,Hành khách,argmin,1,1,1,1,1,1
B-train-00072,1,1,Hành khách,argmax,1,1,5,5,1,1
B-train-00072,1,1,Đúng giờ,argmax,1,1,5,5,1,1
B-train-00072,1,1,Doanh thu,argmin,1,1,4,4,1,1
B-train-00073,1,1,Tuyển mới,argmax,1,1,4,4,1,1
B-train-00073,1,1,Hiện có,argmin,1,1,4,4,1,1
B-train-00073,1,1,Thiếu/thừa,argmax,1,1,2,2,1,1
B-train-00073,1,1,Định biên,argmin,1,1,4,4,1,1
B-train-00074,1,1,Hồ sơ nhận,argmin,1,1,1,1,1,1
B-train-00074,1,1,Trễ hạn,argmax,1,1,1,1,1,1
B-train-00074,1,1,Hồ sơ nhận,argmax,1,1,5,5,1,1
B-train-00075,1,1,Giá trị bán,argmin,1,1,1,1,1,1
B-train-00075,1,1,Hoàn trả,argmax,1,1,6,6,1,1
B-train-00075,1,1,Số đơn,argmin,1,1,8,8,1,1
B-train-00075,1,1,Giá trị bán,argmax,1,1,5,5,1,1
B-train-00076,1,1,Đạt,argmin,1,1,7,7,1,1
B-train-00076,1,1,Tỷ lệ đạt,argmin,1,1,7,7,1,1
B-train-00076,1,1,Đạt,argmax,1,1,3,3,1,1
B-train-00076,1,1,Thí sinh,argmax,1,1,3,3,1,1
B-train-00077,1,1,Đơn xử lý,argmin,1,1,2,2,1,1
B-train-00077,1,1,Tồn cuối,argmin,1,1,3,3,1,1
B-train-00077,1,1,Đúng hạn,argmax,1,1,5,5,1,1
B-train-00077,1,1,Đơn xử lý,argmax,1,0,4,6,1,1
B-train-00078,1,1,Đơn xử lý,argmax,1,0,3,6,1,1
B-train-00078,1,1,Tồn cuối,argmax,1,1,2,2,1,1
B-train-00078,1,1,Đơn xử lý,argmin,1,0,5,1,1,1
B-train-00079,1,1,Hồ sơ nhận,argmax,1,1,2,2,1,1
B-train-00079,1,1,Trễ hạn,argmin,1,1,3,3,1,1
B-train-00079,1,1,Hồ sơ nhận,argmin,1,1,5,5,1,1
B-train-00079,1,1,Chi trả,argmax,1,1,2,2,1,1
B-train-00080,1,1,Thí sinh,argmin,1,1,2,2,1,1
B-train-00080,1,1,Tỷ lệ đạt,argmax,1,1,2,2,1,1
B-train-00080,1,1,Đạt,argmax,1,1,3,3,1,1
B-train-00080,1,1,Tỷ lệ đạt,argmin,1,1,4,4,1,1
B-train-00081,1,1,Tỷ lệ đạt,argmin,1,1,2,2,1,1
B-train-00081,1,1,Thí sinh,argmax,1,1,4,4,1,1
B-train-00081,1,1,Thí sinh,argmin,1,1,5,5,1,1
B-train-00081,1,1,Tỷ lệ đạt,argmax,1,1,4,4,1,1
B-train-00082,1,1,Dư nợ,argmin,1,0,5,6,1,1
B-train-00082,1,1,Tăng trưởng,argmin,1,1,5,5,1,1
B-train-00082,1,1,Tăng trưởng,argmax,1,1,6,6,1,1
B-train-00083,1,1,Tuyển mới,argmax,1,1,3,3,1,1
B-train-00083,1,1,Thiếu/thừa,argmax,1,1,4,4,1,1
B-train-00083,1,1,Thiếu/thừa,argmin,1,1,3,3,1,1
B-train-00083,1,1,Định biên,argmin,1,1,1,1,1,1
B-train-00084,1,1,Tồn cuối,argmax,1,1,4,4,1,1
B-train-00084,1,1,Đơn xử lý,argmax,1,1,2,2,1,1
B-train-00084,1,1,Đúng hạn,argmin,1,1,5,5,1,1
B-train-00085,1,1,Tiến độ,argmax,1,1,3,3,1,1
B-train-00085,1,1,Giá trị hợp đồng,argmin,1,1,5,5,1,1
B-train-00085,1,1,Giá trị hợp đồng,argmax,1,1,2,2,1,1
B-train-00085,1,1,Tiến độ,argmin,1,1,1,1,1,1
B-train-00086,1,1,Tỷ lệ đạt,argmin,1,1,2,2,1,1
B-train-00086,1,1,Đạt,argmin,1,1,7,7,1,1
B-train-00086,1,1,Đạt,argmax,1,1,8,8,1,1
B-train-00087,1,1,Công suất phòng,argmin,1,1,4,4,1,1
B-train-00087,1,1,Doanh thu,argmax,1,1,3,3,1,1
B-train-00087,1,1,Khách quốc tế,argmax,1,1,4,4,1,1
B-train-00087,1,1,Khách nội địa,argmin,1,1,4,4,1,1
B-train-00088,1,1,Trễ hạn,argmin,1,1,7,7,1,1
B-train-00088,1,1,Đã giải quyết,argmin,1,1,1,1,1,1
B-train-00088,1,1,Đã giải quyết,argmax,1,1,5,5,1,1
B-train-00089,1,1,Hợp đồng,argmin,1,1,2,2,1,1
B-train-00089,1,1,Phí bảo hiểm,argmax,1,1,4,4,1,1
B-train-00089,1,1,Bồi thường,argmin,1,1,2,2,1,1
B-train-00089,1,1,Tỷ lệ,argmax,1,1,1,1,1,1
B-train-00090,1,1,Hiện có,argmax,1,1,3,3,1,1
B-train-00090,1,1,Tuyển mới,argmax,1,1,5,5,1,1
B-train-00090,1,1,Thiếu/thừa,argmin,1,1,5,5,1,1
B-train-00091,1,1,Thí sinh,argmin,1,1,4,4,1,1
B-train-00091,1,1,Thí sinh,argmax,1,1,3,3,1,1
B-train-00091,1,1,Đạt,argmax,1,1,1,1,1,1
B-train-00091,1,1,Tỷ lệ đạt,argmin,1,1,3,3,1,1
B-train-00092,1,1,Thực hiện,argmax,1,1,3,3,1,1
B-train-00092,1,1,Chênh lệch,argmin,1,1,2,2,1,1
B-train-00092,1,1,Chênh lệch,argmax,1,1,4,4,1,1
B-train-00092,1,1,Thực hiện,argmin,1,1,5,5,1,1
B-train-00093,1,1,Khách quốc tế,argmax,1,1,5,5,1,1
B-train-00093,1,1,Công suất phòng,argmin,1,1,6,6,1,1
B-train-00093,1,1,Doanh thu,argmax,1,1,6,6,1,1
B-train-00093,1,1,Khách quốc tế,argmin,1,1,3,3,1,1
B-train-00094,1,1,Giá dự toán,argmin,1,1,3,3,1,1
B-train-00094,1,1,Giá trúng,argmax,1,1,5,5,1,1
B-train-00094,1,1,Giá trúng,argmin,1,1,3,3,1,1
B-train-00095,1,1,Hành khách,argmin,1,1,1,1,1,1
B-train-00095,1,1,Đúng giờ,argmin,1,1,2,2,1,1
B-train-00095,1,1,Doanh thu,argmax,1,1,2,2,1,1
B-train-00095,1,1,Đúng giờ,argmax,1,1,1,1,1,1
B-train-00096,1,1,Nợ quá hạn,argmin,1,1,6,6,1,1
B-train-00096,1,1,Huy động,argmin,1,1,4,4,1,1
B-train-00096,1,1,Tăng trưởng,argmax,1,1,6,6,1,1
B-train-00096,1,1,Dư nợ,argmax,1,0,4,1,1,1
B-train-00097,1,1,Số chuyến,argmax,1,1,3,3,1,1
B-train-00097,1,1,Doanh thu,argmax,1,1,1,1,1,1
B-train-00097,1,1,Đúng giờ,argmin,1,1,4,4,1,1
B-train-00097,1,1,Hành khách,argmin,1,1,4,4,1,1
B-train-00098,1,1,Sự cố,argmin,1,1,4,4,1,1
B-train-00098,1,1,Công suất đỉnh,argmax,1,1,7,7,1,1
B-train-00098,1,1,Tổn thất,argmin,1,1,7,7,1,1
B-train-00099,1,1,Giá trị bán,argmax,1,1,3,3,1,1
B-train-00099,1,1,Số đơn,argmin,1,1,2,2,1,1
B-train-00099,1,1,Số đơn,argmax,1,1,3,3,1,1
B-train-00099,1,1,Lượt khách,argmin,1,1,4,4,1,1
B-train-00100,1,1,Tồn cuối,argmax,1,1,3,3,1,1
B-train-00100,1,1,Chi phí,argmin,1,1,8,8,1,1
B-train-00100,1,1,Đúng hạn,argmin,1,1,13,13,1,1
B-train-00101,1,2,Đã giải quyết,argmin,1,1,4,4,1,1
B-train-00101,1,1,Tỷ lệ,argmax,1,1,10,10,1,1
B-train-00101,1,1,Kế hoạch,argmax,1,0,9,6,1,1
B-train-00101,1,1,Kỳ này,argmin,1,1,11,11,1,1
B-train-00102,1,1,Tỷ trọng (%),argmax,1,1,17,17,1,1
B-train-00102,1,1,Nhập viện,argmin,1,1,7,7,1,1
B-train-00103,2,1,Sản lượng (tấn),argmax,1,1,4,4,1,1
B-train-00103,2,1,Sản lượng (tấn),argmin,1,1,3,3,1,1
B-train-00103,2,1,Diện tích (ha),argmin,1,1,3,3,1,1
B-train-00103,1,1,Diện tích (ha),argmax,1,1,11,11,1,1
B-train-00104,1,1,Tỷ trọng (%),argmin,1,1,13,13,1,1
B-train-00104,1,1,Phản ánh,argmax,1,1,16,16,1,1
B-train-00104,1,1,Tỷ lệ rớt cuộc,argmax,1,1,3,3,1,1
B-train-00105,1,1,Tỷ lệ,argmax,1,1,11,11,1,1
B-train-00105,1,1,Tỷ lệ,argmin,1,0,6,3,1,1
B-train-00105,1,2,Khách quốc tế,argmax,1,1,7,7,1,1
B-train-00105,1,1,Chênh lệch,argmin,1,0,6,3,1,1
B-train-00106,1,2,Tỷ trọng (%),argmin,1,0,8,10,1,1
B-train-00106,1,2,Tổn thất,argmax,1,1,13,13,1,1
B-train-00106,1,1,Đúng giờ,argmin,1,1,8,8,1,1
B-train-00106,1,2,Sự cố,argmax,1,1,4,4,1,1
B-train-00107,1,1,Đúng hạn,argmax,1,1,7,7,1,1
B-train-00107,1,1,Chi phí,argmax,1,1,11,11,1,1
B-train-00107,1,1,Chi phí,argmin,1,1,16,16,1,1
B-train-00107,1,1,Tồn cuối,argmin,1,1,10,10,1,1
B-train-00108,1,1,Kỳ trước,argmax,1,1,9,9,1,1
B-train-00108,1,1,Kỳ trước,argmin,1,1,15,15,1,1
B-train-00108,1,1,Kỳ này,argmax,1,1,3,3,1,1
B-train-00108,1,1,Tỷ lệ đạt,argmin,1,1,10,10,1,1
