document_id,page,table,reasoning_type,value_column,return_column,question_id,expected_answer,expected_row,solver_answer,solver_row,is_correct,table_expected_rows,table_solver_rows,table_expected_row_count,table_solver_row_count
B-train-00007,1,1,argmax,Hoàn trả,Điểm bán,B-train-00007-q02,Điểm bán phía Nam,5,Điểm bán phía Nam,5,True,2|4|5,2|4|5,3,3
B-train-00007,1,1,argmin,Lượt khách,Điểm bán,B-train-00007-q03,Cửa hàng 02,2,Cửa hàng 02,2,True,2|4|5,2|4|5,3,3
B-train-00007,1,1,argmax,Giá trị bán,Điểm bán,B-train-00007-q07,Cửa hàng 02,2,Cửa hàng 02,2,True,2|4|5,2|4|5,3,3
B-train-00007,1,1,argmin,Số đơn,Điểm bán,B-train-00007-q10,Điểm bán phía Bắc,4,Điểm bán phía Bắc,4,True,2|4|5,2|4|5,3,3
B-train-00008,1,1,argmax,Giá trúng,Gói thầu,B-train-00008-q01,GT75,5,GT75,5,True,2|5,2|5,2,2
B-train-00008,1,1,argmax,Giá dự toán,Gói thầu,B-train-00008-q05,GT75,5,GT75,5,True,2|5,2|5,2,2
B-train-00008,1,1,argmin,Giá trúng,Gói thầu,B-train-00008-q07,GT13,2,GT13,2,True,2|5,2|5,2,2
B-train-00008,1,1,argmin,Giá dự toán,Gói thầu,B-train-00008-q10,GT13,2,GT13,2,True,2|5,2|5,2,2
B-train-00009,1,1,argmax,Tiến độ,Dự án,B-train-00009-q08,Cầu Đông Thành,1,Cầu Đông Thành,1,True,1|2|7,1|2|7,3,3
B-train-00009,1,1,argmin,Tiến độ,Dự án,B-train-00009-q09,Đường vành đai,7,Đường vành đai,7,True,1|2|7,1|2|7,3,3
B-train-00009,1,1,argmax,Giải ngân,Dự án,B-train-00009-q10,Đường vành đai,2,Đường vành đai,2,True,1|2|7,1|2|7,3,3
B-train-00010,1,1,argmax,Xuất,Mã hàng,B-train-00010-q04,VT620,5,VT620,5,True,4|5,4|5,2,2
B-train-00010,1,1,argmin,Tồn đầu,Mã hàng,B-train-00010-q06,VT620,5,VT620,5,True,4|5,4|5,2,2
B-train-00010,1,1,argmax,Tồn đầu,Mã hàng,B-train-00010-q08,VT159,4,VT159,4,True,4|5,4|5,2,2
B-train-00011,1,1,argmax,Giá trị bán,Điểm bán,B-train-00011-q02,Điểm bán phía Bắc,4,Điểm bán phía Bắc,4,True,1|4|5,1|4|5,3,3
B-train-00011,1,1,argmax,Lượt khách,Điểm bán,B-train-00011-q05,Điểm bán phía Nam,5,Điểm bán phía Nam,5,True,1|4|5,1|4|5,3,3
B-train-00011,1,1,argmin,Lượt khách,Điểm bán,B-train-00011-q06,Cửa hàng 01,1,Cửa hàng 01,1,True,1|4|5,1|4|5,3,3
B-train-00011,1,1,argmin,Số đơn,Điểm bán,B-train-00011-q09,Cửa hàng 01,1,Cửa hàng 01,1,True,1|4|5,1|4|5,3,3
B-train-00012,1,1,argmin,Kế hoạch,Khu vực,B-train-00012-q02,Tây Nguyên,4,Tây Nguyên,4,True,2|3|4|5,2|3|4|5,4,4
B-train-00012,1,1,argmax,Chênh lệch,Khu vực,B-train-00012-q04,Miền Nam,3,Miền Nam,3,True,2|3|4|5,2|3|4|5,4,4
B-train-00012,1,1,argmax,Thực hiện,Khu vực,B-train-00012-q09,Đồng bằng sông Cửu Long,5,Đồng bằng sông Cửu Long,5,True,2|3|4|5,2|3|4|5,4,4
B-train-00012,1,1,argmin,Tỷ lệ,Khu vực,B-train-00012-q10,Miền Trung,2,Miền Trung,2,True,2|3|4|5,2|3|4|5,4,4
B-train-00013,1,1,argmax,Tỷ lệ rớt cuộc,Khu vực,B-train-00013-q02,Cụm BTS-02,2,Cụm BTS-02,2,True,2|3|6|7,2|3|6|7,4,4
B-train-00013,1,1,argmax,Phản ánh,Khu vực,B-train-00013-q06,Cụm BTS-02,7,Cụm BTS-02,7,True,2|3|6|7,2|3|6|7,4,4
B-train-00013,1,1,argmin,Lưu lượng,Khu vực,B-train-00013-q08,Khu vực ven biển,3,Khu vực ven biển,3,True,2|3|6|7,2|3|6|7,4,4
B-train-00013,1,1,argmin,Phản ánh,Khu vực,B-train-00013-q10,Cụm BTS-01,6,Cụm BTS-01,6,True,2|3|6|7,2|3|6|7,4,4
B-train-00014,1,1,argmin,Khách nội địa,Điểm đến,B-train-00014-q04,Phố cổ Hội An,2,Phố cổ Hội An,2,True,2|6,2|6,2,2
B-train-00014,1,1,argmin,Doanh thu,Điểm đến,B-train-00014-q05,Vịnh Hạ Long,6,Vịnh Hạ Long,6,True,2|6,2|6,2,2
B-train-00014,1,1,argmax,Khách quốc tế,Điểm đến,B-train-00014-q07,Vịnh Hạ Long,6,Vịnh Hạ Long,6,True,2|6,2|6,2,2
B-train-00015,1,1,argmin,Dư nợ,Chi nhánh,B-train-00015-q01,Cần Thơ 02,5,Hà Nội 01,6,False,1|5|6,1|6,3,2
B-train-00015,1,1,argmin,Tăng trưởng,Chi nhánh,B-train-00015-q06,Hà Nội 01,6,Hà Nội 01,6,True,1|5|6,1|6,3,2
B-train-00015,1,1,argmax,Huy động,Chi nhánh,B-train-00015-q07,Hà Nội 01,1,Hà Nội 01,1,True,1|5|6,1|6,3,2
B-train-00015,1,1,argmax,Tăng trưởng,Chi nhánh,B-train-00015-q09,Hà Nội 01,1,Hà Nội 01,1,True,1|5|6,1|6,3,2
B-train-00016,1,1,argmax,Doanh thu,Tuyến,B-train-00016-q01,Nha Trang – Đà Lạt,4,Nha Trang – Đà Lạt,4,True,4|5,4|5,2,2
B-train-00016,1,1,argmin,Doanh thu,Tuyến,B-train-00016-q04,Hà Nội – Hải Phòng,5,Hà Nội – Hải Phòng,5,True,4|5,4|5,2,2
B-train-00016,1,1,argmax,Hành khách,Tuyến,B-train-00016-q07,Nha Trang – Đà Lạt,4,Nha Trang – Đà Lạt,4,True,4|5,4|5,2,2
B-train-00016,1,1,argmin,Đúng giờ,Tuyến,B-train-00016-q10,Hà Nội – Hải Phòng,5,Hà Nội – Hải Phòng,5,True,4|5,4|5,2,2
B-train-00017,1,1,argmin,Doanh thu,Điểm đến,B-train-00017-q02,Vịnh Hạ Long,6,Vịnh Hạ Long,6,True,3|5|6,3|5|6,3,3
B-train-00017,1,1,argmax,Khách quốc tế,Điểm đến,B-train-00017-q04,Phú Quốc,5,Phú Quốc,5,True,3|5|6,3|5|6,3,3
B-train-00017,1,1,argmax,Công suất phòng,Điểm đến,B-train-00017-q09,Vịnh Hạ Long,6,Vịnh Hạ Long,6,True,3|5|6,3|5|6,3,3
B-train-00017,1,1,argmin,Khách quốc tế,Điểm đến,B-train-00017-q10,Đà Lạt,3,Đà Lạt,3,True,3|5|6,3|5|6,3,3
B-train-00018,1,1,argmin,COD,Điểm quan trắc,B-train-00018-q05,Hồ Xuân Hương,3,Hồ Xuân Hương,3,True,3|6,3|6,2,2
B-train-00018,1,1,argmax,BOD5,Điểm quan trắc,B-train-00018-q08,Sông Hồng,6,Sông Hồng,6,True,3|6,3|6,2,2
B-train-00019,1,1,argmin,Lượt khám,Khoa,B-train-00019-q05,Nhi,3,Nội tổng hợp,1,False,2|3,1|3|7,2,3
B-train-00019,1,1,argmin,Nhập viện,Khoa,B-train-00019-q06,Nhi,3,Nhi,3,True,2|3,1|3|7,2,3
B-train-00019,1,1,argmax,Lượt khám,Khoa,B-train-00019-q08,Ngoại,2,Nội tổng hợp,7,False,2|3,1|3|7,2,3
B-train-00020,1,1,argmax,Doanh thu,Điểm đến,B-train-00020-q01,Đà Lạt,3,Đà Lạt,3,True,2|3|4|7,2|3|4|7,4,4
B-train-00020,1,1,argmin,Khách quốc tế,Điểm đến,B-train-00020-q03,Phố cổ Hội An,2,Phố cổ Hội An,2,True,2|3|4|7,2|3|4|7,4,4
B-train-00020,1,1,argmax,Công suất phòng,Điểm đến,B-train-00020-q06,Nha Trang,4,Nha Trang,4,True,2|3|4|7,2|3|4|7,4,4
B-train-00020,1,1,argmin,Công suất phòng,Điểm đến,B-train-00020-q09,Phố cổ Hội An,7,Phố cổ Hội An,7,True,2|3|4|7,2|3|4|7,4,4
B-train-00021,1,1,argmin,Giá dự toán,Gói thầu,B-train-00021-q03,GT48,5,GT48,5,True,3|5,3|5,2,2
B-train-00021,1,1,argmax,Giá trúng,Gói thầu,B-train-00021-q04,GT37,3,GT37,3,True,3|5,3|5,2,2
B-train-00021,1,1,argmin,Giá trúng,Gói thầu,B-train-00021-q09,GT48,5,GT48,5,True,3|5,3|5,2,2
B-train-00022,1,1,argmin,Kế hoạch,Khu vực,B-train-00022-q05,Miền Trung,2,Miền Trung,2,True,2|3|4,2|3|4,3,3
B-train-00022,1,1,argmin,Thực hiện,Khu vực,B-train-00022-q06,Tây Nguyên,4,Tây Nguyên,4,True,2|3|4,2|3|4,3,3
B-train-00022,1,1,argmax,Thực hiện,Khu vực,B-train-00022-q09,Miền Nam,3,Miền Nam,3,True,2|3|4,2|3|4,3,3
B-train-00022,1,1,argmax,Tỷ lệ,Khu vực,B-train-00022-q10,Miền Trung,2,Miền Trung,2,True,2|3|4,2|3|4,3,3
B-train-00023,1,1,argmin,Thực hiện,Khu vực,B-train-00023-q01,Miền Trung,2,Miền Trung,2,True,1|2|5,1|2|5,3,3
B-train-00023,1,1,argmin,Tỷ lệ,Khu vực,B-train-00023-q05,Miền Trung,2,Miền Trung,2,True,1|2|5,1|2|5,3,3
B-train-00023,1,1,argmax,Thực hiện,Khu vực,B-train-00023-q06,Miền Bắc,1,Miền Bắc,1,True,1|2|5,1|2|5,3,3
B-train-00023,1,1,argmax,Chênh lệch,Khu vực,B-train-00023-q08,Đồng bằng sông Cửu Long,5,Đồng bằng sông Cửu Long,5,True,1|2|5,1|2|5,3,3
B-train-00024,1,1,argmax,Chi trả,Nhóm chế độ,B-train-00024-q04,Thất nghiệp,2,Thất nghiệp,2,True,1|2|3|5,1|2|3|7,4,4
B-train-00024,1,1,argmax,Đã giải quyết,Nhóm chế độ,B-train-00024-q05,Ốm đau,3,Ốm đau,3,True,1|2|3|5,1|2|3|7,4,4
B-train-00024,1,1,argmin,Trễ hạn,Nhóm chế độ,B-train-00024-q07,Hưu trí,1,Hưu trí,1,True,1|2|3|5,1|2|3|7,4,4
B-train-00024,1,1,argmin,Hồ sơ nhận,Nhóm chế độ,B-train-00024-q10,Tai nạn lao động,5,Thất nghiệp,7,False,1|2|3|5,1|2|3|7,4,4
B-train-00025,1,1,argmin,Trễ hạn,Nhóm chế độ,B-train-00025-q01,Thai sản,4,Thai sản,4,True,1|2|3|4,1|2|3|4,4,4
B-train-00025,1,1,argmin,Chi trả,Nhóm chế độ,B-train-00025-q03,Ốm đau,3,Ốm đau,3,True,1|2|3|4,1|2|3|4,4,4
B-train-00025,1,1,argmax,Chi trả,Nhóm chế độ,B-train-00025-q08,Thất nghiệp,2,Thất nghiệp,2,True,1|2|3|4,1|2|3|4,4,4
B-train-00025,1,1,argmax,Hồ sơ nhận,Nhóm chế độ,B-train-00025-q10,Hưu trí,1,Hưu trí,1,True,1|2|3|4,1|2|3|4,4,4
B-train-00026,1,1,argmax,Chuyển tuyến,Khoa,B-train-00026-q04,Sản,4,Sản,4,True,4|5,4|5,2,2
B-train-00026,1,1,argmin,Lượt khám,Khoa,B-train-00026-q08,Mắt,5,Mắt,5,True,4|5,4|5,2,2
B-train-00026,1,1,argmax,Lượt khám,Khoa,B-train-00026-q10,Sản,4,Sản,4,True,4|5,4|5,2,2
B-train-00027,1,1,argmax,Hiện có,Phòng ban,B-train-00027-q05,Kinh doanh,1,Kinh doanh,1,True,1|5,1|5,2,2
B-train-00027,1,1,argmin,Tuyển mới,Phòng ban,B-train-00027-q06,Kinh doanh,1,Kinh doanh,1,True,1|5,1|5,2,2
B-train-00027,1,1,argmin,Định biên,Phòng ban,B-train-00027-q07,Hành chính,5,Hành chính,5,True,1|5,1|5,2,2
B-train-00027,1,1,argmax,Thiếu/thừa,Phòng ban,B-train-00027-q10,Kinh doanh,1,Kinh doanh,1,True,1|5,1|5,2,2
B-train-00028,1,1,argmin,Giá trị bán,Điểm bán,B-train-00028-q01,Cửa hàng 01,6,Cửa hàng 01,6,True,2|6|7,2|6|7,3,3
B-train-00028,1,1,argmax,Số đơn,Điểm bán,B-train-00028-q04,Cửa hàng 02,2,Cửa hàng 02,2,True,2|6|7,2|6|7,3,3
B-train-00028,1,1,argmin,Hoàn trả,Điểm bán,B-train-00028-q08,Cửa hàng 02,7,Cửa hàng 02,7,True,2|6|7,2|6|7,3,3
B-train-00029,1,1,argmax,Đạt,Đơn vị,B-train-00029-q02,THPT Nguyễn Trãi,6,THPT Nguyễn Trãi,6,True,1|3|6,1|3|6,3,3
B-train-00029,1,1,argmax,Tỷ lệ đạt,Đơn vị,B-train-00029-q04,THPT Nguyễn Trãi,1,THPT Nguyễn Trãi,1,True,1|3|6,1|3|6,3,3
B-train-00029,1,1,argmin,Thí sinh,Đơn vị,B-train-00029-q10,THPT Trần Phú,3,THPT Trần Phú,3,True,1|3|6,1|3|6,3,3
B-train-00030,1,1,argmin,Lượt khám,Khoa,B-train-00030-q04,Mắt,5,Mắt,5,True,4|5|6,2|4|5,3,3
B-train-00030,1,1,argmax,Lượt khám,Khoa,B-train-00030-q07,Tai Mũi Họng,6,Ngoại,2,False,4|5|6,2|4|5,3,3
B-train-00030,1,1,argmin,Chuyển tuyến,Khoa,B-train-00030-q09,Sản,4,Sản,4,True,4|5|6,2|4|5,3,3
B-train-00031,1,1,argmax,Tỷ lệ rớt cuộc,Khu vực,B-train-00031-q03,Khu vực ven biển,3,Khu vực ven biển,3,True,3|4|5,3|4|5,3,3
B-train-00031,1,1,argmax,Thuê bao,Khu vực,B-train-00031-q06,Khu vực đô thị,4,Khu vực đô thị,4,True,3|4|5,3|4|5,3,3
B-train-00031,1,1,argmin,Lưu lượng,Khu vực,B-train-00031-q07,Khu vực đô thị,4,Khu vực đô thị,4,True,3|4|5,3|4|5,3,3
B-train-00031,1,1,argmin,Thuê bao,Khu vực,B-train-00031-q08,Khu vực miền núi,5,Khu vực miền núi,5,True,3|4|5,3|4|5,3,3
B-train-00032,1,1,argmax,Khách nội địa,Điểm đến,B-train-00032-q04,Đà Lạt,3,Vịnh Hạ Long,6,False,1|3|4,1|4|6,3,3
B-train-00032,1,1,argmin,Doanh thu,Điểm đến,B-train-00032-q05,Nha Trang,4,Nha Trang,4,True,1|3|4,1|4|6,3,3
B-train-00032,1,1,argmin,Khách quốc tế,Điểm đến,B-train-00032-q08,Nha Trang,4,Nha Trang,4,True,1|3|4,1|4|6,3,3
B-train-00032,1,1,argmax,Doanh thu,Điểm đến,B-train-00032-q10,Vịnh Hạ Long,1,Vịnh Hạ Long,1,True,1|3|4,1|4|6,3,3
B-train-00033,1,1,argmin,Hiện có,Phòng ban,B-train-00033-q01,Công nghệ,4,Công nghệ,4,True,1|4|6|7,1|4|6|7,4,4
B-train-00033,1,1,argmax,Thiếu/thừa,Phòng ban,B-train-00033-q04,Kinh doanh,1,Kinh doanh,1,True,1|4|6|7,1|4|6|7,4,4
B-train-00033,1,1,argmin,Định biên,Phòng ban,B-train-00033-q07,Chăm sóc khách hàng,6,Chăm sóc khách hàng,6,True,1|4|6|7,1|4|6|7,4,4
B-train-00033,1,1,argmax,Hiện có,Phòng ban,B-train-00033-q10,Kinh doanh,7,Kinh doanh,7,True,1|4|6|7,1|4|6|7,4,4
B-train-00034,1,1,argmax,pH,Điểm quan trắc,B-train-00034-q01,Sông Hương,2,Sông Hương,2,True,1|2|4|6,1|2|4|6,4,4
B-train-00034,1,1,argmin,pH,Điểm quan trắc,B-train-00034-q02,KCN Long Thành,4,KCN Long Thành,4,True,1|2|4|6,1|2|4|6,4,4
B-train-00034,1,1,argmax,COD,Điểm quan trắc,B-train-00034-q05,Sông Hồng,1,Sông Hồng,1,True,1|2|4|6,1|2|4|6,4,4
B-train-00034,1,1,argmin,COD,Điểm quan trắc,B-train-00034-q06,Sông Hồng,6,Sông Hồng,6,True,1|2|4|6,1|2|4|6,4,4
B-train-00035,1,1,argmin,Chi phí,Kho/điểm,B-train-00035-q02,Kho Hà Nội,1,Kho Hà Nội,1,True,1|3|4,1|3|4,3,3
B-train-00035,1,1,argmin,Đúng hạn,Kho/điểm,B-train-00035-q04,Kho Hà Nội,1,Kho Hà Nội,1,True,1|3|4,1|3|4,3,3
B-train-00035,1,1,argmax,Đơn xử lý,Kho/điểm,B-train-00035-q05,Kho Cần Thơ,4,Kho Cần Thơ,4,True,1|3|4,1|3|4,3,3
B-train-00035,1,1,argmax,Đúng hạn,Kho/điểm,B-train-00035-q09,Kho Bình Dương,3,Kho Bình Dương,3,True,1|3|4,1|3|4,3,3
B-train-00036,1,1,argmin,Thực hiện,Khu vực,B-train-00036-q02,Miền Bắc,6,Miền Bắc,6,True,3|5|6,5|6,3,2
B-train-00036,1,1,argmax,Chênh lệch,Khu vực,B-train-00036-q03,Đồng bằng sông Cửu Long,5,Đồng bằng sông Cửu Long,5,True,3|5|6,5|6,3,2
B-train-00036,1,1,argmin,Kế hoạch,Khu vực,B-train-00036-q09,Miền Nam,3,Miền Bắc,6,False,3|5|6,5|6,3,2
B-train-00037,1,1,argmax,Chuyển tuyến,Khoa,B-train-00037-q01,Sản,4,Sản,4,True,4|5|6,4|5|6,3,3
B-train-00037,1,1,argmin,Nhập viện,Khoa,B-train-00037-q03,Tai Mũi Họng,6,Tai Mũi Họng,6,True,4|5|6,4|5|6,3,3
B-train-00037,1,1,argmin,Lượt khám,Khoa,B-train-00037-q07,Tai Mũi Họng,6,Tai Mũi Họng,6,True,4|5|6,4|5|6,3,3
B-train-00037,1,1,argmax,Nhập viện,Khoa,B-train-00037-q10,Mắt,5,Mắt,5,True,4|5|6,4|5|6,3,3
B-train-00038,1,1,argmax,Giá dự toán,Gói thầu,B-train-00038-q02,GT64,5,GT64,5,True,5|6,5|6,2,2
B-train-00038,1,1,argmin,Giá dự toán,Gói thầu,B-train-00038-q09,GT63,6,GT63,6,True,5|6,5|6,2,2
B-train-00039,1,1,argmin,Hiện có,Phòng ban,B-train-00039-q01,Hành chính,5,Hành chính,5,True,2|5,2|5,2,2
B-train-00039,1,1,argmax,Định biên,Phòng ban,B-train-00039-q02,Kế toán,2,Kế toán,2,True,2|5,2|5,2,2
B-train-00039,1,1,argmin,Định biên,Phòng ban,B-train-00039-q05,Hành chính,5,Hành chính,5,True,2|5,2|5,2,2
B-train-00039,1,1,argmax,Tuyển mới,Phòng ban,B-train-00039-q08,Hành chính,5,Hành chính,5,True,2|5,2|5,2,2
B-train-00040,1,1,argmax,Lượt khám,Khoa,B-train-00040-q01,Nội tổng hợp,1,Nội tổng hợp,1,True,1|2|3,1|2|3,3,3
B-train-00040,1,1,argmax,Chuyển tuyến,Khoa,B-train-00040-q04,Ngoại,2,Ngoại,2,True,1|2|3,1|2|3,3,3
B-train-00040,1,1,argmin,Nhập viện,Khoa,B-train-00040-q05,Nhi,3,Nhi,3,True,1|2|3,1|2|3,3,3
B-train-00040,1,1,argmin,Lượt khám,Khoa,B-train-00040-q09,Ngoại,2,Ngoại,2,True,1|2|3,1|2|3,3,3
B-train-00041,1,1,argmin,Huy động,Chi nhánh,B-train-00041-q02,Hà Nội 01,6,Hà Nội 01,6,True,1|5|6|8,1|5|6|8,4,4
B-train-00041,1,1,argmax,Huy động,Chi nhánh,B-train-00041-q04,Đà Nẵng 01,8,Đà Nẵng 01,8,True,1|5|6|8,1|5|6|8,4,4
B-train-00041,1,1,argmin,Nợ quá hạn,Chi nhánh,B-train-00041-q06,Cần Thơ 02,5,Cần Thơ 02,5,True,1|5|6|8,1|5|6|8,4,4
B-train-00041,1,1,argmax,Nợ quá hạn,Chi nhánh,B-train-00041-q07,Hà Nội 01,1,Hà Nội 01,1,True,1|5|6|8,1|5|6|8,4,4
B-train-00042,1,1,argmin,Doanh thu,Tuyến,B-train-00042-q04,Đà Nẵng – Huế,6,Đà Nẵng – Huế,6,True,2|4|6,2|4|6,3,3
B-train-00042,1,1,argmax,Đúng giờ,Tuyến,B-train-00042-q05,Đà Nẵng – Huế,6,Đà Nẵng – Huế,6,True,2|4|6,2|4|6,3,3
B-train-00042,1,1,argmax,Hành khách,Tuyến,B-train-00042-q09,Nha Trang – Đà Lạt,4,Nha Trang – Đà Lạt,4,True,2|4|6,2|4|6,3,3
B-train-00042,1,1,argmin,Đúng giờ,Tuyến,B-train-00042-q10,Đà Nẵng – Huế,2,Đà Nẵng – Huế,2,True,2|4|6,2|4|6,3,3
B-train-00043,1,1,argmin,Doanh thu,Tuyến,B-train-00043-q01,Nha Trang – Đà Lạt,4,Nha Trang – Đà Lạt,4,True,1|2|3|4,1|2|3|4,4,4
B-train-00043,1,1,argmax,Đúng giờ,Tuyến,B-train-00043-q03,TP.HCM – Cần Thơ,3,TP.HCM – Cần Thơ,3,True,1|2|3|4,1|2|3|4,4,4
B-train-00043,1,1,argmax,Doanh thu,Tuyến,B-train-00043-q07,Hà Nội – Hải Phòng,1,Hà Nội – Hải Phòng,1,True,1|2|3|4,1|2|3|4,4,4
B-train-00043,1,1,argmin,Đúng giờ,Tuyến,B-train-00043-q08,Đà Nẵng – Huế,2,Đà Nẵng – Huế,2,True,1|2|3|4,1|2|3|4,4,4
B-train-00044,1,1,argmin,Tiến độ,Dự án,B-train-00044-q03,Cầu Đông Thành,1,Cầu Đông Thành,1,True,1|3|4,1|3|4,3,3
B-train-00044,1,1,argmax,Giá trị hợp đồng,Dự án,B-train-00044-q05,Nhà máy nước,4,Nhà máy nước,4,True,1|3|4,1|3|4,3,3
B-train-00044,1,1,argmin,Giá trị hợp đồng,Dự án,B-train-00044-q08,Cầu Đông Thành,1,Cầu Đông Thành,1,True,1|3|4,1|3|4,3,3
B-train-00044,1,1,argmax,Tiến độ,Dự án,B-train-00044-q09,Trường liên cấp,3,Trường liên cấp,3,True,1|3|4,1|3|4,3,3
B-train-00045,1,1,argmax,Lưu lượng,Khu vực,B-train-00045-q03,Khu vực ven biển,8,Khu vực ven biển,8,True,2|4|6|8,2|4|6|8,4,4
B-train-00045,1,1,argmin,Phản ánh,Khu vực,B-train-00045-q04,Khu vực đô thị,4,Khu vực đô thị,4,True,2|4|6|8,2|4|6|8,4,4
B-train-00045,1,1,argmin,Lưu lượng,Khu vực,B-train-00045-q07,Cụm BTS-01,6,Cụm BTS-01,6,True,2|4|6|8,2|4|6|8,4,4
B-train-00045,1,1,argmax,Tỷ lệ rớt cuộc,Khu vực,B-train-00045-q08,Cụm BTS-02,2,Cụm BTS-02,2,True,2|4|6|8,2|4|6|8,4,4
B-train-00046,1,1,argmin,Nợ quá hạn,Chi nhánh,B-train-00046-q01,Hải Phòng 02,2,Hải Phòng 02,2,True,1|2|3,1|2|3,3,3
B-train-00046,1,1,argmin,Dư nợ,Chi nhánh,B-train-00046-q06,Đà Nẵng 01,3,Đà Nẵng 01,3,True,1|2|3,1|2|3,3,3
B-train-00046,1,1,argmax,Nợ quá hạn,Chi nhánh,B-train-00046-q07,Hà Nội 01,1,Hà Nội 01,1,True,1|2|3,1|2|3,3,3
B-train-00046,1,1,argmax,Tăng trưởng,Chi nhánh,B-train-00046-q10,Đà Nẵng 01,3,Đà Nẵng 01,3,True,1|2|3,1|2|3,3,3
B-train-00047,1,1,argmin,Sản lượng,Trạm,B-train-00047-q03,Trạm Cao Nguyên,5,Trạm 220kV Trung,2,False,2|3|5,1|2|5,3,3
